"ID","Name","LongName","Parent"
"L105","C:","C:","L101"
"L106","Users","C:/Users","L105"
"L107","Sokaina","C:/Users/Sokaina","L106"
"L108","Downloads","C:/Users/Sokaina/Downloads","L107"
"L109","Versiones-Junit5","C:/Users/Sokaina/Downloads/Versiones-Junit5","L108"
"L110","junit5-r5.0.0","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0","L109"
"L111","documentation","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation","L110"
"L1175","platform-tests","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests","L110"
"L1183","junit-jupiter-engine","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine","L110"
"L1192","junit-jupiter-api","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-api","L110"
"L11315","junit-jupiter-migrationsupport","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport","L110"
"L11880","junit-jupiter-params","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params","L110"
"L13383","junit-platform-commons","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-commons","L110"
"L16517","junit-platform-console","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console","L110"
"L19034","junit-platform-engine","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine","L110"
"L21640","junit-platform-launcher","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-launcher","L110"
"L23030","junit-platform-runner","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-runner","L110"
"L23537","junit-platform-suite-api","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-suite-api","L110"
"L23581","junit-platform-surefire-provider","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider","L110"
"L23964","junit-vintage-engine","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine","L110"
"L25878","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/src","L110"
"L25893","junit-platform-console-standalone","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console-standalone","L110"
"L112","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src","L111"
"L1176","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src","L1175"
"L1184","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src","L1183"
"L1193","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-api/src","L1192"
"L11316","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src","L11315"
"L11881","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src","L11880"
"L13384","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-commons/src","L13383"
"L16518","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console/src","L16517"
"L19035","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src","L19034"
"L21641","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-launcher/src","L21640"
"L23031","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-runner/src","L23030"
"L23538","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-suite-api/src","L23537"
"L23582","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src","L23581"
"L23965","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src","L23964"
"L25879","spotless","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/src/spotless","L25878"
"L25894","src","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console-standalone/src","L25893"
"L113","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test","L112"
"L1177","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test","L1176"
"L1185","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src/test","L1184"
"L4836","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src/main","L1184"
"L1194","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-api/src/main","L1193"
"L11317","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src/test","L11316"
"L11325","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src/main","L11316"
"L11882","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src/main","L11881"
"L11894","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src/test","L11881"
"L13385","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-commons/src/main","L13384"
"L16519","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console/src/main","L16518"
"L19036","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src/main","L19035"
"L21217","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src/test","L19035"
"L21642","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-launcher/src/main","L21641"
"L23032","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-runner/src/main","L23031"
"L23539","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-suite-api/src/main","L23538"
"L23583","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src/main","L23582"
"L23594","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src/test","L23582"
"L23966","main","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src/main","L23965"
"L23974","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src/test","L23965"
"L25895","test","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console-standalone/src/test","L25894"
"L114","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java","L113"
"L1178","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test/java","L1177"
"L1186","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src/test/java","L1185"
"L4837","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src/main/java","L4836"
"L1195","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-api/src/main/java","L1194"
"L11318","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src/test/java","L11317"
"L11326","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src/main/java","L11325"
"L11883","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src/main/java","L11882"
"L11895","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src/test/java","L11894"
"L13386","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-commons/src/main/java","L13385"
"L16520","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console/src/main/java","L16519"
"L19037","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src/main/java","L19036"
"L21218","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src/test/java","L21217"
"L21643","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-launcher/src/main/java","L21642"
"L23033","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-runner/src/main/java","L23032"
"L23540","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-suite-api/src/main/java","L23539"
"L23584","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src/main/java","L23583"
"L23595","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src/test/java","L23594"
"L23967","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src/main/java","L23966"
"L23975","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src/test/java","L23974"
"L25896","java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console-standalone/src/test/java","L25895"
"L115","example","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java/example","L114"
"L1152","extensions","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java/extensions","L114"
"L1179","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test/java/org","L1178"
"L1187","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src/test/java/org","L1186"
"L4838","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-engine/src/main/java/org","L4837"
"L1196","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-api/src/main/java/org","L1195"
"L11319","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src/test/java/org","L11318"
"L11327","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-migrationsupport/src/main/java/org","L11326"
"L11884","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src/main/java/org","L11883"
"L11896","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-jupiter-params/src/test/java/org","L11895"
"L13387","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-commons/src/main/java/org","L13386"
"L16521","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console/src/main/java/org","L16520"
"L19038","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src/main/java/org","L19037"
"L21219","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-engine/src/test/java/org","L21218"
"L21644","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-launcher/src/main/java/org","L21643"
"L23034","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-runner/src/main/java/org","L23033"
"L23541","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-suite-api/src/main/java/org","L23540"
"L23585","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src/main/java/org","L23584"
"L23596","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-surefire-provider/src/test/java/org","L23595"
"L23968","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src/main/java/org","L23967"
"L23976","org","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-vintage-engine/src/test/java/org","L23975"
"L25897","standalone","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/junit-platform-console-standalone/src/test/java/standalone","L25896"
"L267","defaultmethods","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java/example/defaultmethods","L115"
"L523","exception","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java/example/exception","L115"
"L922","testinterface","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java/example/testinterface","L115"
"L1047","timing","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/documentation/src/test/java/example/timing","L115"
"L1180","junit","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test/java/org/junit","L1179"
"L13310","jupiter","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test/java/org/junit/jupiter","L1180"
"L13380","platform","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test/java/org/junit/platform","L1180"
"L25595","api","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.0/platform-tests/src/test/java/org/junit/api","L1180"
